Навык,Количество,Процент
Тестирование API,25,11.74%
A/B тесты,25,11.74%
Тестирование iOS-приложений,24,11.27%
Системное тестирование,24,11.27%
Agile,24,11.27%
Тестирование,8,3.76%
Ручное тестирование,7,3.29%
SQL,5,2.35%
QA,4,1.88%
Postman,4,1.88%
Git,3,1.41%
Контроль качества,3,1.41%
Python,3,1.41%
Кроссплатформенное тестирование,2,0.94%
Test case,2,0.94%
Bug Reporting,2,0.94%
DevTools,2,0.94%
CI/CD,2,0.94%
REST API,2,0.94%
Тестирование игр,2,0.94%
GameDev,2,0.94%
Кроссбраузерное тестирование,1,0.47%
Проведение тестирований,1,0.47%
Gitlab,1,0.47%
Docker,1,0.47%
Selenium,1,0.47%
API,1,0.47%
Ручное тестирование веб-приложений,1,0.47%
HTTPS,1,0.47%
HTTP,1,0.47%
JSON,1,0.47%
MySQL,1,0.47%
Atlassian Jira,1,0.47%
JavaScript,1,0.47%
CSS,1,0.47%
HTML,1,0.47%
Техническая поддержка,1,0.47%
Информационные технологии,1,0.47%
OAT-тестирование,1,0.47%
Тестирование ПО,1,0.47%
Аналитический склад ума,1,0.47%
Техническая документация,1,0.47%
Ведение отчётности,1,0.47%
Тестирование стабильности,1,0.47%
Составление баг-репортов,1,0.47%
MS Excel,1,0.47%
Google Sheets,1,0.47%
Выявление системных ошибок,1,0.47%
Коммуникабельность,1,0.47%
Умение формулировать выводы,1,0.47%
Внимательность,1,0.47%
Анализ тестирования,1,0.47%
Деловая коммуникация,1,0.47%
Грамотность,1,0.47%
Hyper casual,1,0.47%
Методология тестирования,1,0.47%
Контроль выполнения задач,1,0.47%
Контроль сотрудников,1,0.47%
Деловая переписка,1,0.47%
