Название вакансии,Компания,Город,Дата публикации,Ссылка
Junior QA Engineer,Kinetica,Санкт-Петербург,2024-11-19T12:19:19+0300,https://hh.ru/vacancy/111320093
Стажер-тестировщик,Григорьева Анна,Пинск,2024-11-19T12:37:00+0300,https://hh.ru/vacancy/111322194
Младший тестировщик (ручное тестирование),ProSpace,Санкт-Петербург,2024-11-19T10:30:38+0300,https://hh.ru/vacancy/108984095
Junior QA engineer,Hodl Hodl,Москва,2024-11-20T18:01:11+0300,https://hh.ru/vacancy/111443435
Тестировщик/QA Engineer (Junior),Ботхаб,Новосибирск,2024-11-18T16:57:01+0300,https://hh.ru/vacancy/111254137
Junior QA Engineer,Elephant Games,Москва,2024-11-18T18:06:44+0300,https://hh.ru/vacancy/111261360
Стажер-тестировщик,Нестеренко Анастасия,Тараз,2024-11-20T22:30:23+0300,https://hh.ru/vacancy/111454379
Тестировщик веб-проектов,Пэйвол Рус,Санкт-Петербург,2024-11-15T21:45:33+0300,https://hh.ru/vacancy/111098561
Младший специалист по тестированию (Junior QA),Организация качества,Владимир,2024-11-19T11:09:55+0300,https://hh.ru/vacancy/107553426
Intern QA Engineer,Matryoshka Games,Новосибирск,2024-11-15T13:24:10+0300,https://hh.ru/vacancy/107328945
Junior QA Manual (Ручной тестировщик),Oxytocin,Москва,2024-10-25T14:12:15+0300,https://hh.ru/vacancy/109295745
Программист / программист-тестировщик (стажер),Ит Продажи,Москва,2024-11-17T23:12:07+0300,https://hh.ru/vacancy/111177623
QA Engineer (Mobile),Secreate,Москва,2024-11-18T14:43:49+0300,https://hh.ru/vacancy/111237987
Junior QA Manual,JavaCode,Таганрог,2024-11-21T14:44:42+0300,https://hh.ru/vacancy/111523322
Тестировщик специалист технической поддержки,Selsup,Москва,2024-11-08T15:27:08+0300,https://hh.ru/vacancy/110428437
Стажёр-тестировщик,КРОК,Москва,2024-11-20T09:51:13+0300,https://hh.ru/vacancy/110137467
QA-инженер/Тестировщик (автоэлектроника),Роадгид,Санкт-Петербург,2024-11-19T17:31:07+0300,https://hh.ru/vacancy/111350290
